mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13,spec_cent_mean,spec_cent_std,spec_bw_mean,spec_bw_std,rolloff_mean,rolloff_std,zcr_mean,zcr_std,rms_mean,rms_std,label
-291.26086,144.72418,64.36716,60.31783,7.7413645,30.78326,16.433426,26.508999,2.7834797,19.631754,1.3021015,17.53082,-13.353286,19.204592,-0.30214724,14.532427,-18.02495,19.791456,2.5598912,11.922323,-5.5395823,11.666122,-0.37924877,10.567281,-6.0999823,11.608248,2315.269469,1555.493066,2255.316452,719.5516015,4588.187479,2528.774812,0.115595982,0.135308728,0.07605933,0.0690786,German
-269.14676,125.91269,67.3895,56.46511,8.639976,28.441526,16.956177,25.995325,3.8050249,17.906826,5.083969,16.255564,-9.609906,16.19563,-1.7971671,14.574793,-11.841172,16.153683,2.1436503,11.288643,-3.7753794,10.24397,-0.74899095,11.093824,-4.764409,11.133942,2323.594149,1377.099892,2360.271433,588.7892067,4706.293612,2303.356182,0.10943844,0.116385338,0.07059552,0.060092565,German
-263.43262,141.3007,67.129616,61.99928,10.570556,30.036564,19.56417,28.337889,2.0445807,19.335743,3.4142227,17.880224,-14.734128,17.483679,-1.29357,15.348299,-16.452408,17.04278,1.5339134,12.587713,-5.2580714,10.550688,1.5694479,10.429764,-7.7927003,11.22561,2461.063055,1694.526831,2250.792724,715.3868663,4684.39078,2602.442998,0.134017324,0.141311388,0.08348944,0.06624004,German
-298.88358,142.93672,61.160812,57.830605,4.8634562,28.451302,12.690839,24.263693,0.14071372,19.187702,5.361627,15.78171,-10.6850195,17.157907,-1.3384777,14.679618,-12.412936,16.144962,2.141624,10.964329,-4.633832,11.118291,0.165584,10.762342,-6.6337223,12.312511,2459.311159,1526.107939,2327.458581,663.0196654,4869.305209,2413.112172,0.125256338,0.12997586,0.05978332,0.05719932,German
-276.53885,143.90465,64.38493,55.57997,9.792069,27.193563,16.71436,25.317793,2.503405,18.470573,6.232355,15.867329,-10.052191,17.587587,1.9499799,14.049528,-10.272809,16.833864,1.9894917,11.894245,-4.2082133,10.604079,2.0283263,10.133344,-4.5508895,11.418254,2449.473822,1385.33031,2461.853713,534.41975,5036.379381,2271.175386,0.115069104,0.119546921,0.074285604,0.06780794,German
-273.8167,142.212,70.53553,61.563072,8.298581,29.31427,16.928383,26.352219,2.2451017,19.830189,3.488594,17.367855,-12.790876,16.97627,-0.6249687,15.793737,-14.578899,16.432503,2.840936,12.830728,-6.603556,11.378504,1.6099811,11.205108,-6.517095,11.163219,2336.843572,1626.752256,2200.377132,767.6099578,4502.655271,2623.744364,0.123214175,0.137140902,0.07806829,0.0644325,German
-243.7024,117.901634,78.295296,67.790085,4.9837456,34.26542,19.237537,27.150679,-13.269665,19.32613,-1.7594877,17.138529,-18.948769,14.607178,2.5702465,13.671365,-9.8148985,13.512435,-8.138214,15.529454,-12.291506,11.628088,-5.6048455,12.812586,-9.794578,9.426544,2471.807449,1915.554141,1991.916452,718.674737,4346.240358,2805.422773,0.16461605,0.164191047,0.09271708,0.072175875,German
-234.84828,116.30237,76.39972,62.924137,5.2412353,34.274956,20.683174,28.939232,-11.908749,18.492256,-2.4795496,17.18616,-16.6606,14.991067,0.1558591,14.06374,-9.555608,13.219887,-8.777146,15.2011,-11.9698715,10.889128,-6.154825,11.763441,-10.362251,10.18309,2444.98594,1870.078634,2018.937416,732.3888439,4392.868647,2739.354869,0.15804876,0.162984421,0.1020705,0.08374151,German
-296.34427,148.48335,74.84055,59.855217,-6.4972653,31.189573,36.56654,32.545395,3.1138334,20.953012,10.184304,17.45941,-8.647661,16.666908,7.576527,12.038295,2.5522413,15.2246065,9.684242,12.437365,-10.487754,13.849534,-4.336241,10.088085,-8.410949,12.106239,2177.929676,1135.87218,2036.194221,506.4408657,4206.857465,1902.976815,0.117348721,0.094891059,0.058945514,0.052928273,German
-298.48062,136.16899,80.21075,61.06058,1.3008245,32.15446,37.15874,32.240036,6.8808255,22.482637,12.060554,16.360874,-7.3694744,16.645016,5.257069,12.41567,0.9239922,12.318643,7.3257036,11.767522,-5.671831,12.949138,-3.4654279,10.029258,-9.973405,12.22417,2002.692445,1181.552358,1980.311686,542.3119565,3897.400118,2033.046951,0.105328558,0.095332239,0.054166377,0.04727072,German
-298.1645,143.52394,94.00973,63.500862,2.541751,31.965164,33.567142,27.819267,4.9585376,25.21154,12.580931,16.32309,-1.6549183,15.810321,4.9700484,12.736677,3.5089011,12.34324,7.162609,11.484847,-5.530628,12.693928,0.39634413,10.496524,-9.2133875,12.77674,1756.960022,1061.107281,1917.591732,575.6403123,3555.51757,2012.019175,0.087381705,0.081202785,0.06473949,0.059881374,German
-302.9142,133.70912,89.76637,61.191406,1.9432306,31.50322,39.440765,31.535265,8.445661,22.44007,11.578231,16.072588,-5.235316,15.201095,4.1693773,11.820045,0.48030004,12.116608,7.004885,11.668353,-5.8836994,13.470923,-2.1244328,10.202683,-8.941051,11.920765,1809.76914,1043.667975,1943.321213,564.184851,3656.79846,1956.745968,0.087600702,0.077311348,0.056744196,0.047973033,German
