mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13,spec_cent_mean,spec_cent_std,spec_bw_mean,spec_bw_std,rolloff_mean,rolloff_std,zcr_mean,zcr_std,rms_mean,rms_std,label
-291.26086,144.72418,64.36716,60.31783,7.7413645,30.78326,16.433426,26.508999,2.7834797,19.631754,1.3021015,17.53082,-13.353286,19.204592,-0.30214724,14.532427,-18.02495,19.791456,2.5598912,11.922323,-5.5395823,11.666122,-0.37924877,10.567281,-6.0999823,11.608248,2315.26946924512,1555.493066470235,2255.316452194863,719.551601480721,4588.187478955138,2528.774811717526,0.11559598237411936,0.13530872756582865,0.07605933,0.0690786,German
-269.14676,125.91269,67.3895,56.46511,8.639976,28.441526,16.956177,25.995325,3.8050249,17.906826,5.083969,16.255564,-9.609906,16.19563,-1.7971671,14.574793,-11.841172,16.153683,2.1436503,11.288643,-3.7753794,10.24397,-0.74899095,11.093824,-4.764409,11.133942,2323.5941489748493,1377.0998917350555,2360.271432806928,588.7892066728067,4706.293612393466,2303.356182420453,0.10943843957149621,0.11638533751205618,0.07059552,0.060092565,German
-263.43262,141.3007,67.129616,61.99928,10.570556,30.036564,19.56417,28.337889,2.0445807,19.335743,3.4142227,17.880224,-14.734128,17.483679,-1.29357,15.348299,-16.452408,17.04278,1.5339134,12.587713,-5.2580714,10.550688,1.5694479,10.429764,-7.7927003,11.22561,2461.0630548093322,1694.5268307231427,2250.792724244425,715.3868662976167,4684.390779820884,2602.442997660293,0.13401732405995934,0.14131138808152754,0.08348944,0.06624004,German
-298.88358,142.93672,61.160812,57.830605,4.8634562,28.451302,12.690839,24.263693,0.14071372,19.187702,5.361627,15.78171,-10.6850195,17.157907,-1.3384777,14.679618,-12.412936,16.144962,2.141624,10.964329,-4.633832,11.118291,0.165584,10.762342,-6.6337223,12.312511,2459.311159327791,1526.1079394543538,2327.458580729782,663.0196654454516,4869.305208808729,2413.11217184967,0.1252563382734435,0.12997586044714787,0.05978332,0.05719932,German
-276.53885,143.90465,64.38493,55.57997,9.792069,27.193563,16.71436,25.317793,2.503405,18.470573,6.232355,15.867329,-10.052191,17.587587,1.9499799,14.049528,-10.272809,16.833864,1.9894917,11.894245,-4.2082133,10.604079,2.0283263,10.133344,-4.5508895,11.418254,2449.473821843686,1385.3303097760488,2461.8537134412904,534.4197499892375,5036.379380659623,2271.1753861803436,0.11506910447950487,0.11954692058871712,0.074285604,0.06780794,German
-273.8167,142.212,70.53553,61.563072,8.298581,29.31427,16.928383,26.352219,2.2451017,19.830189,3.488594,17.367855,-12.790876,16.97627,-0.6249687,15.793737,-14.578899,16.432503,2.840936,12.830728,-6.603556,11.378504,1.6099811,11.205108,-6.517095,11.163219,2336.843572106096,1626.7522557531395,2200.377131924606,767.6099578407237,4502.655270860818,2623.744364067598,0.12321417528505466,0.1371409020500218,0.07806829,0.0644325,German
-243.7024,117.901634,78.295296,67.790085,4.9837456,34.26542,19.237537,27.150679,-13.269665,19.32613,-1.7594877,17.138529,-18.948769,14.607178,2.5702465,13.671365,-9.8148985,13.512435,-8.138214,15.529454,-12.291506,11.628088,-5.6048455,12.812586,-9.794578,9.426544,2471.8074492046967,1915.5541412608466,1991.916452154491,718.6747370203773,4346.240357522856,2805.4227730030902,0.16461604961380832,0.16419104675654406,0.09271708,0.072175875,German
-229.83925,121.01081,82.03462,66.78408,3.7878783,33.11136,16.547417,26.650486,-13.961503,20.191092,-2.1317813,17.399448,-18.618803,15.309908,-0.23767416,13.459417,-9.426863,13.858253,-7.987322,14.693352,-12.321312,11.3783865,-5.68198,12.614907,-10.853884,10.305171,2339.1656257336203,1823.286832914729,1972.4986893439095,756.8241586586827,4185.559644197163,2785.0144682824025,0.15055802551626463,0.15133340956870242,0.10869407,0.08194108,German
-234.84828,116.30237,76.39972,62.924137,5.2412353,34.274956,20.683174,28.939232,-11.908749,18.492256,-2.4795496,17.18616,-16.6606,14.991067,0.1558591,14.06374,-9.555608,13.219887,-8.777146,15.2011,-11.9698715,10.889128,-6.154825,11.763441,-10.362251,10.18309,2444.9859402375973,1870.0786336093774,2018.9374162951779,732.3888439441225,4392.868646946389,2739.3548692920235,0.15804876047807664,0.16298442117851297,0.1020705,0.08374151,German
-296.34427,148.48335,74.84055,59.855217,-6.4972653,31.189573,36.56654,32.545395,3.1138334,20.953012,10.184304,17.45941,-8.647661,16.666908,7.576527,12.038295,2.5522413,15.2246065,9.684242,12.437365,-10.487754,13.849534,-4.336241,10.088085,-8.410949,12.106239,2177.9296755622495,1135.8721802230166,2036.1942209670146,506.4408657140336,4206.857465119169,1902.976814955748,0.11734872098022356,0.09489105916519974,0.058945514,0.052928273,German
-298.48062,136.16899,80.21075,61.06058,1.3008245,32.15446,37.15874,32.240036,6.8808255,22.482637,12.060554,16.360874,-7.3694744,16.645016,5.257069,12.41567,0.9239922,12.318643,7.3257036,11.767522,-5.671831,12.949138,-3.4654279,10.029258,-9.973405,12.22417,2002.6924449899736,1181.5523584160455,1980.3116858886515,542.3119565138524,3897.4001175088133,2033.0469514655558,0.105328558007736,0.09533223877550738,0.054166377,0.04727072,German
-298.1645,143.52394,94.00973,63.500862,2.541751,31.965164,33.567142,27.819267,4.9585376,25.21154,12.580931,16.32309,-1.6549183,15.810321,4.9700484,12.736677,3.5089011,12.34324,7.162609,11.484847,-5.530628,12.693928,0.39634413,10.496524,-9.2133875,12.77674,1756.9600216286633,1061.1072807508713,1917.5917318607414,575.6403123141611,3555.51756993511,2012.019174939637,0.0873817052268534,0.0812027846144506,0.06473949,0.059881374,German
-302.9142,133.70912,89.76637,61.191406,1.9432306,31.50322,39.440765,31.535265,8.445661,22.44007,11.578231,16.072588,-5.235316,15.201095,4.1693773,11.820045,0.48030004,12.116608,7.004885,11.668353,-5.8836994,13.470923,-2.1244328,10.202683,-8.941051,11.920765,1809.7691397632175,1043.6679745027127,1943.3212132631713,564.1848509836317,3656.798459692954,1956.7459682071103,0.08760070234171927,0.07731134775120004,0.056744196,0.047973033,German
